Girl_age,Relationship_Status,Past_RelationShips,Body_Count,Easy_Moveon,Looks,Response,Introvert/Extrovert,Superiority_Complex,Mistake_Acceptance,Open_to_Phone,Pays_Bill,High_Maintenance,Male_Bestfriends,Time_with_male_friends(In min),Feminist,GenZ_prespective,Red_Flag?
12,Yes,0,0,Mid,0,Normal,I,Yes,No,Yes,No,No,0,0,Yes,No,White
12,Yes,1,0,Mid,4,Normal,E,No ,No,No,No,No,0,0,No,No,White
12,Yes,0,0,Mid,9,Normal,I,No ,No,Yes,No,No,0,0,Yes,No,Green
12,No,1,0,Mid,2,Interested ,E,No ,No,No,No,Yes,0,0,No,Yes,Red
12,Yes,0,0,Mid,3,Normal,I,No ,Yes,No,No,No,0,0,Yes,No,Green
12,Yes,1,0,Low,7,Interested ,I,No ,No,No,No,No,0,0,No,No,Green
12,No,0,0,Mid,6,Not interested ,I,Yes,No,No,Yes,No,1,20,No,No,White
12,No,1,0,Low,7,Normal,E,No ,No,Yes,No,No,0,0,No,Yes,White
12,Yes,0,0,High,9,Normal,E,Yes,No,Yes,No,No,1,20,Yes,No,Red
12,No,1,0,Mid,10,Normal,I,No ,Yes,Yes,No,No,1,20,Yes,No,Green
12,No,0,0,Mid,4,Normal,E,Yes,No,No,No,Yes,1,20,Yes,No,Red
12,No,1,0,High,6,Normal,I,No ,No,No,Yes,Yes,0,0,No,No,White
12,No,1,0,Mid,9,Normal,E,No ,No,Yes,No,No,1,20,Yes,No,White
12,Yes,7,0,Mid,8,Normal,I,No ,No,Yes,No,No,0,0,Yes,No,Red
12,Yes,0,0,Mid,7,Interested ,E,No ,No,Yes,No,No,1,20,No,Yes,Green
12,Yes,1,0,Mid,8,Not interested ,I,No ,No,Yes,Yes,No,1,20,No,No,Green
12,No,0,0,Mid,9,Not interested ,I,No ,No,No,No,No,0,0,No,No,White
12,Yes,10,1,High,7,Normal,E,No ,No,Yes,No,No,1,20,No,No,Red
12,No,1,0,Low,7,Normal,E,No ,No,No,Yes,No,0,0,No,No,White
12,Yes,0,0,Mid,9,Normal,I,No ,No,Yes,No,No,1,20,No,No,Green
12,Yes,1,0,Low,6,Normal,E,No ,Yes,Yes,No,No,0,0,No,No,Green
